DSA,DBMS,OS,CN,Mathmetics,Aptitute,Comm,Problem Solving,Creative,Hackathons,Skill 1,Skill 2,Profile
38,83,88,76,34,82,66,5,6,2,Python,React,Software Engineer
85,90,74,54,77,62,63,8,3,3,MYSQL,Javascript,DATA Scientist
58,52,92,42,26,38,67,4,8,3,Python,Figma,UI/UX
60,77,83,46,39,40,51,5,7,10,Javascript,HTML/CSS,Web Developer
32,94,76,75,12,46,61,2,9,3,HTML/CSS,Oracle,Web Developer
23,88,51,38,21,47,80,4,5,1,Javascript,HTML/CSS,Web Developer
71,82,79,76,60,40,86,5,5,0,Oracle,C/C++,Web Developer
87,98,74,65,89,87,63,6,5,0,Linux,MYSQL,Database Administrator
71,47,79,81,94,64,71,6,6,4,HTML/CSS,Linux,Network Engineer
69,53,81,44,21,14,72,4,8,5,React,Javascript,UI/UX
84,91,80,63,98,82,72,9,6,1,Cisco Packet tracer,Tensorflow,Network Engineer
89,61,62,90,80,62,75,7,4,1,BASH/SHELL,Python,Network Engineer
49,98,77,74,52,61,77,6,6,1,C/C++,Linux,Database Administrator
6,41,6,20,74,47,76,1,2,6,Python,Javascript,Tech Support
10,86,56,74,91,64,66,7,6,2,HTML/CSS,Linux,DATA Scientist
74,62,76,89,78,73,75,9,4,1,Cisco Packet tracer,Cisco Packet tracer,Network Engineer
45,71,59,56,94,51,76,6,7,2,Machine Learning,Oracle,Database Administrator
87,98,72,76,7,32,64,4,7,4,HTML/CSS,HTML/CSS,Database Administrator
63,89,83,41,66,62,71,6,5,2,R,HTML/CSS,Database Administrator
93,50,81,95,81,76,63,7,6,0,Python,Java,Network Engineer
53,70,91,57,98,39,56,6,7,9,React,HTML/CSS,Web Developer
50,72,65,65,47,63,62,6,5,2,C/C++,Machine Learning,Database Administrator
97,78,86,85,79,81,75,6,5,3,Wire Shark,Linux,Network Engineer
70,84,66,72,74,55,77,7,6,1,C/C++,MYSQL,Software Engineer
81,56,46,83,63,72,68,6,4,1,Python,MYSQL,Network Engineer
25,97,69,68,63,58,68,6,5,3,MYSQL,Python,Database Administrator
26,92,64,24,12,14,79,4,7,0,HTML/CSS,HTML/CSS,UI/UX
63,31,86,57,2,48,48,4,9,1,Javascript,Javascript,Web Developer
36,19,93,78,24,35,77,4,4,3,HTML/CSS,Java,Tech Support
7,68,87,98,76,85,88,5,5,3,Linux,BASH/SHELL,Network Engineer
55,88,82,84,48,76,63,6,7,2,C/C++,Linux,Database Administrator
7,13,82,38,25,21,71,5,5,1,HTML/CSS,Java,Tech Support
84,68,58,89,86,80,84,7,4,0,C/C++,MYSQL,Network Engineer
82,9,74,79,78,74,77,8,7,1,Linux,R,Software Engineer
65,98,80,50,42,47,76,5,5,1,C/C++,HTML/CSS,Database Administrator
90,96,19,97,96,96,69,9,3,3,MYSQL,C/C++,Software Engineer
9,37,10,19,26,14,63,2,2,0,HTML/CSS,Java,Tech Support
86,41,34,76,30,72,65,7,6,0,Python,C/C++,Network Engineer
74,61,79,93,10,73,80,6,4,1,Wire Shark,Ansible,Network Engineer
47,97,75,74,10,34,72,4,7,1,C/C++,Oracle,Database Administrator
39,51,35,6,24,48,56,1,9,5,GitHub,HTML/CSS,UI/UX
93,45,69,42,52,30,74,6,5,2,C/C++,Angular,Network Engineer
36,89,65,83,42,75,80,4,4,0,Oracle,HTML/CSS,Database Administrator
98,84,82,83,83,66,86,6,4,1,Python,HTML/CSS,Network Engineer
84,78,75,60,90,61,77,6,7,1,Wire Shark,R,DATA Scientist
15,98,11,45,11,46,67,5,7,1,Java,C/C++,Tech Support
83,85,88,95,33,71,73,9,7,3,Python,MYSQL,Network Engineer
74,42,79,94,85,52,77,10,5,1,Python,Python,Network Engineer
70,64,76,84,54,72,84,7,7,0,Ansible,Python,Network Engineer
77,76,79,61,97,71,70,6,7,1,Deep Learning,Linux,DATA Scientist
58,43,76,90,5,37,68,4,6,0,HTML/CSS,Python,Database Administrator
52,77,69,62,45,70,70,5,6,1,Deep Learning,R,DATA Scientist
95,91,84,67,98,84,62,8,4,7,Linux,Oracle,Database Administrator
99,11,85,97,81,85,76,9,5,1,Linux,Wire Shark,Software Engineer
86,68,34,90,85,85,73,8,6,2,Ansible,Linux,Network Engineer
34,65,89,43,45,36,67,4,7,5,React,GitHub,UI/UX
6,70,57,45,20,35,89,3,7,3,GitHub,HTML/CSS,UI/UX
50,84,73,35,19,40,43,4,8,4,Javascript,Angular,Web Developer
50,92,82,82,32,71,73,6,5,0,C/C++,MYSQL,Database Administrator
95,99,33,67,97,67,62,7,5,3,Deep Learning,Tensorflow,DATA Scientist
87,94,25,65,89,66,73,7,6,1,R,R,DATA Scientist
20,42,27,27,15,25,53,1,7,1,Figma,HTML/CSS,Tech Support
89,93,84,84,44,80,72,7,7,0,Python,MYSQL,Database Administrator
54,7,75,96,56,40,74,4,4,5,Linux,C/C++,Database Administrator
79,80,72,66,79,66,61,9,4,1,Pytorch,Deep Learning,DATA Scientist
41,87,61,89,43,31,49,4,5,4,HTML/CSS,C/C++,Web Developer
80,56,83,94,85,63,77,8,7,0,Ansible,Ansible,Network Engineer
31,34,25,29,50,14,60,3,5,0,Javascript,Java,Tech Support
92,57,80,97,73,61,78,5,4,1,Python,Linux,Network Engineer
17,31,48,16,9,31,65,1,6,0,HTML/CSS,HTML/CSS,Tech Support
56,40,6,67,64,54,90,8,5,1,Linux,Linux,Database Administrator
40,78,53,45,21,44,79,5,9,3,GitHub,Java,UI/UX
91,65,85,95,81,84,62,5,7,0,Linux,Ansible,Network Engineer
77,30,77,13,72,80,81,9,4,1,Linux,Cisco Packet tracer,Network Engineer
21,42,78,22,36,31,69,5,7,1,Java,HTML/CSS,Web Developer
18,29,26,7,13,28,58,5,2,1,Python,GitHub,Tech Support
48,34,43,29,7,28,61,3,8,10,Figma,Javascript,UI/UX
68,92,71,33,44,75,71,6,6,1,Oracle,C/C++,Database Administrator
28,82,65,56,29,34,60,4,7,3,GitHub,Photoshop,Web Developer
84,92,75,86,83,86,62,7,7,4,C/C++,Oracle,Software Engineer
86,57,40,82,75,86,88,6,6,2,Python,Ansible,Network Engineer
83,43,50,10,30,31,89,1,5,0,Python,Python,UI/UX
63,86,70,67,40,64,76,8,5,3,Oracle,MYSQL,Database Administrator
28,80,55,73,40,74,89,7,5,1,Oracle,HTML/CSS,Database Administrator
63,94,50,62,41,64,78,6,5,0,Python,MYSQL,Database Administrator
53,96,45,60,41,71,80,5,5,1,GitHub,HTML/CSS,Database Administrator
36,73,92,24,18,47,59,2,8,5,GitHub,C/C++,Web Developer
32,41,31,21,26,38,65,4,7,0,HTML/CSS,C/C++,Tech Support
68,91,18,32,11,41,52,4,9,5,Javascript,GitHub,Web Developer
86,65,85,92,62,70,70,5,5,0,Python,BASH/SHELL,Network Engineer
50,80,69,50,36,32,55,5,7,7,GitHub,GitHub,Web Developer
84,82,52,56,48,81,70,4,7,3,Angular,HTML/CSS,Database Administrator
75,67,77,80,70,81,81,7,5,1,React,BASH/SHELL,Network Engineer
46,56,70,57,31,37,65,4,7,1,GitHub,Figma,UI/UX
84,30,78,87,75,89,72,9,6,3,C/C++,Cisco Packet tracer,Software Engineer
21,14,6,22,8,27,61,2,3,1,HTML/CSS,HTML/CSS,Tech Support
96,24,84,81,71,98,79,10,5,2,Linux,Python,Software Engineer
90,78,82,76,78,81,78,7,6,3,Python,Oracle,DATA Scientist
83,83,54,51,46,40,70,5,7,3,Angular,Javascript,Web Developer
75,90,78,82,72,68,71,6,4,3,Linux,Cisco Packet tracer,Database Administrator
92,81,89,98,72,93,69,7,5,4,Linux,Linux,Software Engineer
11,97,45,81,55,42,60,7,5,1,Java,Java,Database Administrator
7,87,65,52,37,74,75,5,5,1,C/C++,R,DATA Scientist
73,82,81,71,48,86,69,8,7,3,React,MYSQL,Software Engineer
85,72,85,62,78,81,72,8,6,2,GitHub,Python,Network Engineer
20,81,68,56,37,63,61,6,5,1,Python,Tensorflow,DATA Scientist
80,83,72,80,78,87,66,5,5,2,Linux,Linux,Software Engineer
63,99,85,38,78,78,69,4,5,1,Python,Javascript,Database Administrator
51,75,67,63,51,61,65,7,5,3,R,Tensorflow,DATA Scientist
35,25,69,60,93,63,75,6,4,2,Python,HTML/CSS,DATA Scientist
36,45,6,66,31,84,73,5,7,4,Python,Java,Software Engineer
72,87,42,79,54,68,70,8,6,3,Python,MYSQL,DATA Scientist
54,85,92,52,43,70,61,6,5,1,C/C++,MYSQL,Database Administrator
58,60,75,92,76,79,70,6,4,1,Linux,Linux,Network Engineer
61,32,93,32,2,47,59,3,7,4,GitHub,Photoshop,UI/UX
25,41,6,31,11,21,51,1,8,0,HTML/CSS,GitHub,UI/UX
57,41,73,56,49,60,78,6,6,3,React,Linux,Database Administrator
71,78,73,85,51,66,76,6,5,3,Ansible,Python,DATA Scientist
31,77,62,67,85,67,67,7,6,3,Pytorch,Machine Learning,DATA Scientist
66,37,67,50,15,42,78,4,6,3,Python,HTML/CSS,Web Developer
81,67,63,43,24,32,55,3,6,5,GitHub,Python,UI/UX
44,27,36,24,5,37,70,4,5,1,HTML/CSS,C/C++,Tech Support
63,89,85,67,45,74,78,6,7,2,C/C++,HTML/CSS,Database Administrator
43,30,29,62,35,40,64,1,5,0,Python,Javascript,Tech Support
54,88,56,64,94,50,74,6,7,2,HTML/CSS,R,Database Administrator
29,32,29,6,0,14,71,4,7,3,HTML/CSS,GitHub,UI/UX
90,87,89,80,70,84,83,9,5,4,Angular,Oracle,Software Engineer
31,93,76,11,64,66,70,8,4,0,HTML/CSS,Python,Database Administrator
84,99,70,51,56,51,83,8,5,2,GitHub,Linux,Database Administrator
82,83,87,98,70,80,84,7,6,4,Python,HTML/CSS,Software Engineer
63,81,83,82,21,35,51,5,7,8,GitHub,Ansible,Web Developer
