DSA,DBMS,OS,CN,Mathmetics,Aptitute,Comm,Problem Solving,Creative,Hackathons,Skill 1,Skill 2,Profile
78,48,29,90,9,38,75,6,7,0,Oracle,Python,Network Engineer
74,70,89,82,55,57,78,8,6,1,Wire Shark,Wire Shark,Network Engineer
74,80,59,52,97,78,68,6,5,1,Machine Learning,Python,DATA Scientist
10,56,65,90,83,85,81,7,6,0,C/C++,Oracle,Tech Support
82,88,68,57,82,84,67,9,7,4,C/C++,R,DATA Scientist
23,20,78,46,56,43,76,5,5,0,HTML/CSS,C/C++,Tech Support
89,25,62,83,95,20,75,8,6,1,Python,Tensorflow,DATA Scientist
13,68,53,26,29,36,80,1,7,4,HTML/CSS,HTML/CSS,UI/UX
20,27,91,53,10,34,87,3,7,4,GitHub,Javascript,Web Developer
97,81,61,70,72,94,70,9,6,3,C/C++,Oracle,Software Engineer
57,50,51,39,24,63,69,1,6,1,HTML/CSS,MYSQL,Tech Support
6,72,64,49,10,37,76,3,7,1,HTML/CSS,GitHub,UI/UX
7,51,88,98,43,70,85,6,9,1,Linux,HTML/CSS,Database Administrator
9,84,84,77,42,41,50,4,7,3,HTML/CSS,MYSQL,Database Administrator
85,81,64,67,82,86,61,8,7,6,Deep Learning,R,DATA Scientist
30,85,42,60,17,64,61,6,5,1,Python,Machine Learning,DATA Scientist
28,83,64,56,14,57,54,4,8,4,Angular,Javascript,Web Developer
6,98,60,38,27,20,73,3,9,5,HTML/CSS,Node.js,UI/UX
82,51,76,82,83,74,76,5,7,2,Ansible,Pytorch,Network Engineer
75,74,60,67,96,62,70,6,4,2,Tensorflow,Deep Learning,DATA Scientist
18,29,24,17,0,23,55,5,10,0,Javascript,HTML/CSS,Tech Support
23,25,59,22,23,14,71,5,9,5,Photoshop,Figma,UI/UX
47,80,68,66,40,62,63,7,4,1,Pytorch,MYSQL,Database Administrator
68,40,61,55,68,50,78,6,5,1,Oracle,R,DATA Scientist
66,75,77,51,35,72,60,6,6,9,Deep Learning,Python,Database Administrator
99,72,64,65,81,96,69,10,5,5,Pytorch,Figma,Software Engineer
70,84,54,52,90,63,69,7,5,2,Tensorflow,R,DATA Scientist
23,38,36,63,4,27,65,5,4,1,React,GitHub,Tech Support
79,28,71,50,74,61,70,7,6,2,Tensorflow,Python,DATA Scientist
48,6,19,92,16,14,49,4,8,5,Figma,Java,UI/UX
94,18,75,80,75,80,60,9,7,1,Oracle,HTML/CSS,Software Engineer
72,98,74,66,75,72,67,5,7,1,Oracle,Linux,Database Administrator
47,47,46,27,10,14,79,3,9,5,Photoshop,HTML/CSS,UI/UX
28,38,48,49,25,33,89,4,7,2,HTML/CSS,Javascript,UI/UX
90,10,82,84,3,40,84,6,6,0,Python,HTML/CSS,Database Administrator
53,66,13,42,45,57,43,4,8,1,HTML/CSS,HTML/CSS,Web Developer
71,6,79,88,42,87,60,10,5,5,Python,Java,Software Engineer
90,76,67,49,78,80,63,10,7,4,Angular,Javascript,Software Engineer
57,38,22,9,18,16,81,1,10,3,HTML/CSS,HTML/CSS,UI/UX
37,6,34,39,26,15,79,2,4,1,GitHub,HTML/CSS,Tech Support
98,13,73,21,75,83,64,10,7,4,Oracle,Javascript,Software Engineer
52,40,92,56,35,58,53,6,8,2,Angular,Node.js,Web Developer
58,27,67,58,11,73,53,6,7,1,Javascript,Angular,Web Developer
35,80,40,44,0,14,81,1,9,5,HTML/CSS,Javascript,UI/UX
22,59,79,25,75,32,78,5,7,0,Python,BASH/SHELL,Network Engineer
61,88,74,45,39,53,49,7,9,5,GitHub,Javascript,Web Developer
34,36,79,28,14,25,77,4,4,1,HTML/CSS,Javascript,Tech Support
21,22,72,40,34,30,79,4,9,0,HTML/CSS,Photoshop,UI/UX
76,72,76,69,95,71,61,6,6,1,Oracle,Deep Learning,DATA Scientist
6,84,87,39,59,42,89,5,3,1,HTML/CSS,C/C++,Database Administrator
59,80,80,73,83,87,69,7,4,3,HTML/CSS,MYSQL,Software Engineer
81,82,83,79,81,81,84,6,7,4,React,Linux,Software Engineer
43,63,30,36,25,33,53,3,8,6,Photoshop,GitHub,UI/UX
68,72,68,57,62,74,80,6,6,2,HTML/CSS,R,DATA Scientist
31,72,77,24,81,60,75,6,5,1,Tensorflow,HTML/CSS,DATA Scientist
82,72,81,58,43,72,89,6,5,2,C/C++,Ansible,Database Administrator
29,44,46,22,9,15,85,1,10,3,Photoshop,C/C++,UI/UX
33,82,66,58,77,80,72,8,7,8,Java,GitHub,DATA Scientist
78,84,76,60,97,73,63,6,7,5,Tensorflow,Tensorflow,DATA Scientist
30,31,47,30,79,33,72,4,10,3,Javascript,HTML/CSS,UI/UX
95,86,84,86,72,87,84,7,6,4,React,Linux,Software Engineer
89,36,58,20,43,27,70,2,7,4,Photoshop,Javascript,UI/UX
7,41,76,95,70,52,75,4,5,0,Python,Python,Network Engineer
35,11,51,22,8,27,69,3,10,3,HTML/CSS,GitHub,UI/UX
40,34,64,66,95,68,60,6,7,5,Figma,Deep Learning,UI/UX
47,35,70,16,12,16,52,3,10,4,HTML/CSS,C/C++,Tech Support
29,60,84,99,42,98,86,8,7,0,C/C++,C/C++,Database Administrator
42,85,82,69,86,95,60,7,5,9,Python,Oracle,Software Engineer
57,95,78,42,8,40,71,4,8,5,Linux,HTML/CSS,UI/UX
23,8,47,38,31,20,66,4,4,4,HTML/CSS,GitHub,UI/UX
58,98,17,71,17,38,90,4,7,3,MYSQL,C/C++,Database Administrator
83,77,66,68,95,62,64,9,5,3,R,Deep Learning,DATA Scientist
44,27,73,6,41,35,88,4,4,0,HTML/CSS,C/C++,Tech Support
73,54,70,82,63,64,81,7,5,1,HTML/CSS,Ansible,Network Engineer
84,78,35,68,74,81,61,6,5,1,Python,Deep Learning,DATA Scientist
54,78,75,52,12,62,44,6,7,4,Node.js,HTML/CSS,Database Administrator
57,46,87,20,39,34,43,2,4,5,Python,HTML/CSS,Web Developer
95,67,75,86,74,31,77,5,6,0,C/C++,Cisco Packet tracer,Network Engineer
79,56,73,52,44,63,75,6,7,6,Linux,Pytorch,DATA Scientist
88,40,57,21,74,32,77,4,6,1,React,HTML/CSS,Tech Support
20,26,59,39,53,21,82,2,9,5,HTML/CSS,Figma,UI/UX
30,33,48,32,24,14,78,2,10,0,Photoshop,Photoshop,UI/UX
72,57,59,38,80,21,84,2,7,1,C/C++,HTML/CSS,Tech Support
52,87,82,79,34,33,50,6,4,6,HTML/CSS,Oracle,Web Developer
87,31,90,46,4,79,89,8,5,0,Angular,React,Tech Support
32,92,83,60,81,79,78,8,5,3,C/C++,C/C++,Database Administrator
16,27,6,28,23,33,68,3,7,6,HTML/CSS,HTML/CSS,Tech Support
75,90,70,72,48,51,80,5,4,1,HTML/CSS,Angular,Database Administrator
93,57,83,86,88,94,76,7,7,5,C/C++,Angular,Software Engineer
